ID,Name,Department,Overall Rating,Number of Ratings,Would Take Again Percent,Level of Difficulty
1942305,Seok Lee,Engineering,3.0,1,-1.0,3.0
3069469,Mingzhe Chen,Engineering,0.0,0,-1.0,0.0
3129256,Landolf Rhode-Barbarigos,Engineering,0.0,0,-1.0,0.0
2768138,Amin Sarafraz,Engineering,0.0,0,-1.0,0.0
3099861,Charles Tomonto,Engineering,0.0,0,-1.0,0.0
2543793,Francisco Beron-Vera,Engineering,0.0,0,-1.0,0.0
2543793,Francisco Beron-Vera,Engineering,0.0,0,-1.0,0.0
2040469,Daniel Berg,Engineering,0.0,0,-1.0,0.0
3166813,Kevin  Boutsen,Engineering,0.0,0,-1.0,0.0
2269904,Alan Lazer,Engineering,0.0,0,-1.0,0.0
2269904,Alan Lazer,Engineering,0.0,0,-1.0,0.0
3043573,Ruth Ron,Engineering,0.0,0,-1.0,0.0
3094363,Sanchit Mehta,Engineering,0.0,0,-1.0,0.0
2548856,Prannoy Suraneni,Engineering,0.0,0,-1.0,0.0
2393636,Mary Benitez,Engineering,0.0,0,-1.0,0.0
2595914,John Yao,Engineering,0.0,0,-1.0,0.0
2548856,Prannoy Suraneni,Engineering,0.0,0,-1.0,0.0
2996584,Derin Ural,Engineering,0.0,0,-1.0,0.0
2811092,Suhrud Rajguru,Engineering,0.0,0,-1.0,0.0
2786536,Zeinab Ramezani,Engineering,0.0,0,-1.0,0.0
2157262,Francisco De Caso y Basalo,Engineering,0.0,0,-1.0,0.0
2933983,Bryson Rudolph,Cinema & Interactive Media,5.0,6,100.0,1.8
3163365,Christine Jung,Cinema & Interactive Media,5.0,1,100.0,1.0
3020160,Alfred Martin,Cinema & Interactive Media,5.0,2,100.0,2.0
2693405,Ching Ting Huang,Cinema & Interactive Media,3.5,2,50.0,2.0
1434494,Ricardo Zulueta,Cinema & Interactive Media,4.8,10,-1.0,3.3
2962983,Rafal Sokolowski,Cinema & Interactive Media,0.0,0,-1.0,0.0
3064947,Timothy  Sparks,Cinema & Interactive Media,0.0,0,-1.0,0.0
638968,Alexander Pons,Information Science,3.1,9,-1.0,3.1
2925449,Blake Larsen,Information Science,0.0,0,-1.0,0.0
2141495,Trevor Green,Electronic Media,4.6,6,100.0,2.8
2651605,Nathaniel Schwartz,Electronic Media,4.3,3,100.0,3.0
1284085,Leonardo Ferriera,Electronic Media,3.5,1,-1.0,1.0
1284081,Steven Owen,Electronic Media,0.0,0,-1.0,0.0
